node_idx,degree
4039,1932
2424,1026
225,2300
3901,1484
223,2150
511,2606
1150,1182
3832,1538
346,2006
2336,1646
3978,1294
1734,2336
1331,3316
308,2090
313,2174
122,1510
785,1172
779,1048
1279,1794
608,2720
476,3874
3037,1264
3667,2944
2235,2460
474,1570
2221,510
738,1738
2521,1034
2392,1336
405,3094
802,2290
2337,2112
3646,1988
34,1998
351,2534
781,1300
1247,1664
504,1604
814,2032
1371,2296
2488,1874
1443,802
1057,1184
573,2050
490,1574
838,2604
755,1824
3385,1400
212,2784
3400,2504
519,1970
2469,2946
2720,1328
3509,1416
886,2328
2541,1368
733,1052
2277,2042
1190,1666
1023,3054
713,2160
2316,2550
3706,1766
3119,1968
494,1930
3472,1040
1385,1612
336,3234
2290,2480
2279,1106
2150,1940
2614,2066
3442,1366
767,2684
896,2642
412,1792
2354,2588
669,1042
2505,2940
793,986
333,3344
1330,2126
670,1346
349,1580
633,2516
3672,2714
889,1992
2400,1922
260,4182
1968,1940
1918,1480
958,2160
54,42
2444,1326
326,1730
2489,2446
158,2244
4176,1724
3794,1658
479,1368
3918,3264
3204,1192
1885,3066
2562,2184
1285,2338
2839,1540
2069,2212
3865,1416
2295,2468
1096,1074
1189,1376
2564,1352
2264,2562
605,2142
3616,1042
1056,2244
278,2206
4053,1040
1191,1900
1531,1868
1098,2714
2497,1520
3766,1412
3512,1852
3488,2494
2257,2178
1214,2726
3644,1444
3951,1966
1848,1656
2127,1028
1861,1526
1889,2258
796,3220
261,1734
1283,1072
3536,2514
1183,1564
4112,1768
3298,1352
267,2760
437,1510
3580,2498
1141,2072
1055,1584
408,1104
1554,768
2503,1864
1358,2292
224,2786
406,4438
1977,806
3792,2486
1121,2112
2477,1918
727,2018
525,2692
2260,1078
3591,1394
3511,1544
3694,1052
892,998
396,2270
2267,2822
127,3662
123,1856
1064,1154
211,1326
3495,2326
3460,1322
2324,2396
2165,710
3373,2626
1655,1058
2059,2602
3437,1988
419,2702
2373,1398
1890,1092
3271,1240
959,3648
353,2278
703,1420
384,1208
1234,1938
3014,1722
2215,1310
1350,1886
3743,1990
2052,1356
186,2658
2543,924
517,1330
168,1380
2491,1434
3626,1408
3479,2494
431,4068
2320,2462
3998,1456
1833,1374
766,1852
1196,120
233,1578
251,2602
3088,2314
1749,1170
2856,1948
1496,930
1512,1538
3608,2484
3465,24
1042,1036
1248,1470
505,1440
569,2912
2869,1688
3997,1544
774,1792
461,3760
1082,1718
382,2018
2284,1736
457,1668
859,2930
1105,2306
175,2046
2729,1346
3371,1040
2432,1330
2429,2718
203,1844
3803,350
3300,1560
3850,1046
832,1748
284,2510
1656,2602
596,2482
3910,1922
1351,2890
1194,1150
3983,1632
1382,1772
953,1188
1130,1312
2582,1344
1008,1668
594,2258
1241,2340
2549,2478
1187,1416
3089,2378
602,1058
844,3376
746,2570
2842,1514
1205,1860
2593,1322
1224,2818
705,1198
2433,1344
14,1230
1841,1848
964,1588
3056,1016
337,2390
721,2198
618,2538
3483,2338
3991,806
452,1468
695,2430
1622,2168
2978,2214
597,1142
2585,1158
195,2078
242,1364
878,2370
143,1006
2518,2454
2449,1354
917,2334
694,1546
214,1142
11,1538
558,1860
923,1506
919,3042
2495,1002
3677,2508
553,2176
1067,1766
3602,1570
3896,1544
1252,1148
822,1068
393,2294
3160,3056
388,1600
1106,1178
320,1878
2430,988
3350,1426
595,2878
2480,1946
129,1496
1200,614
3244,1080
1232,1944
2517,2442
835,2350
1201,1756
861,2228
907,1340
2435,1328
1231,2030
3649,1416
2321,2622
367,2136
3020,2100
1198,1090
522,1918
638,3092
891,1346
4056,1032
1383,776
3842,2056
3720,1260
2162,618
692,2162
3893,1096
456,2398
2474,1094
1370,1546
1508,2016
2412,2358
641,1354
2864,1346
697,2648
2043,1796
1601,1988
827,1522
2606,1324
4127,2302
1683,2984
1026,1056
3912,2268
850,2594
541,3618
2209,1458
768,1950
3922,3506
1127,1536
860,1050
962,2944
2529,1702
1159,2176
2132,1378
2540,1476
1229,2112
3855,1400
4035,1212
807,4468
3701,2026
3657,2486
3661,1382
3372,1968
2708,1150
1978,2084
271,2914
2450,1334
3753,1312
257,2274
485,4108
982,1874
2313,1642
611,1544
3519,1284
1007,3076
1812,982
2581,986
3878,2464
1245,1406
575,2468
180,2050
2270,3548
3908,1830
